"Overlast";"Perioden";"Wijken en buurten";"Geregistreerde overlast (aantal)"
"Geluidshinder evenement";"2023 april";"Kadijken";"       0"
"Geluidshinder evenement";"2023 april";"Westelijk Havengebied";"       0"
"Geluidshinder evenement";"2023 april";"Coenhaven/Mercuriushaven";"       0"
"Geluidshinder evenement";"2023 april";"Alfa-driehoek";"       0"
"Geluidshinder evenement";"2023 april";"Petroleumhaven";"       0"
"Geluidshinder evenement";"2023 april";"Westhaven Noord";"       0"
"Geluidshinder evenement";"2023 april";"Vervoerscentrum";"       0"
"Geluidshinder evenement";"2023 april";"Amerikahaven";"       0"
"Geluidshinder evenement";"2023 april";"Afrikahaven";"       0"
"Geluidshinder evenement";"2023 april";"Westhaven Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijventerrein Sloterdijk";"       0"
"Geluidshinder evenement";"2023 april";"Sloterdijk II";"       0"
"Geluidshinder evenement";"2023 april";"Sloterdijk III Oost";"       0"
"Geluidshinder evenement";"2023 april";"Sloterdijk III West";"       0"
"Geluidshinder evenement";"2023 april";"De Heining";"       0"
"Geluidshinder evenement";"2023 april";"Teleport";"       0"
"Geluidshinder evenement";"2023 april";"Bretten Oost";"       0"
"Geluidshinder evenement";"2023 april";"Bretten West";"       0"
"Geluidshinder evenement";"2023 april";"Houthavens";"       0"
"Geluidshinder evenement";"2023 april";"Houthavens West";"       0"
"Geluidshinder evenement";"2023 april";"Houthavens Oost";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammer- en Zeeheldenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Zeeheldenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammerbuurt Noordoost";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammerbuurt Zuidoost";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammerbuurt Zuidwest";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammerbuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Spaarndammerbuurt Noordwest";"       0"
"Geluidshinder evenement";"2023 april";"Westergasfabriek";"       0"
"Geluidshinder evenement";"2023 april";"Overbraker Binnenpolder";"       0"
"Geluidshinder evenement";"2023 april";"Staatsliedenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"De Wittenbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"De Wittenbuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Staatsliedenbuurt Noordoost";"       0"
"Geluidshinder evenement";"2023 april";"Fannius Scholtenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Westerstaatsman";"       0"
"Geluidshinder evenement";"2023 april";"Buyskade e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Centrale Markt";"       0"
"Geluidshinder evenement";"2023 april";"Ecowijk";"       0"
"Geluidshinder evenement";"2023 april";"Markthallen";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijvencentrum Westerkwartier";"       0"
"Geluidshinder evenement";"2023 april";"Marcanti";"       0"
"Geluidshinder evenement";"2023 april";"Frederik Hendrikbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Frederik Hendrikbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Frederik Hendrikbuurt Zuidoost";"       0"
"Geluidshinder evenement";"2023 april";"Frederik Hendrikbuurt Zuidwest";"       0"
"Geluidshinder evenement";"2023 april";"Da Costabuurt";"       0"
"Geluidshinder evenement";"2023 april";"Da Costabuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Kinkerbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Bellamybuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Bellamybuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Van Lennepbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Da Costabuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Borgerbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Lootsbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Helmersbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Helmersbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"WG-terrein";"       0"
"Geluidshinder evenement";"2023 april";"Cremerbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Overtoomse Sluis";"       0"
"Geluidshinder evenement";"2023 april";"Cremerbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Vondelparkbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Vondelbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Vondelparkbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Vondelparkbuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Zuidas";"       0"
"Geluidshinder evenement";"2023 april";"Zuidas Noord";"       0"
"Geluidshinder evenement";"2023 april";"RAI";"       0"
"Geluidshinder evenement";"2023 april";"VU-kwartier";"       0"
"Geluidshinder evenement";"2023 april";"Zuidas Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Vivaldi";"       0"
"Geluidshinder evenement";"2023 april";"Oude Pijp";"       0"
"Geluidshinder evenement";"2023 april";"Hemonybuurt";"       0"
"Geluidshinder evenement";"2023 april";"Gerard Doubuurt";"       0"
"Geluidshinder evenement";"2023 april";"Frans Halsbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Hercules Seghersbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Sarphatiparkbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Nieuwe Pijp";"       0"
"Geluidshinder evenement";"2023 april";"Willibrordusbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Van der Helstpleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Lizzy Ansinghbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Cornelis Troostbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Zuid Pijp";"       0"
"Geluidshinder evenement";"2023 april";"Diamantbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Burgemeester Tellegenbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Burgemeester Tellegenbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Weesperzijde";"       0"
"Geluidshinder evenement";"2023 april";"Swammerdambuurt";"       0"
"Geluidshinder evenement";"2023 april";"Weesperzijde Midden/Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Parooldriehoek";"       0"
"Geluidshinder evenement";"2023 april";"Oosterparkbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Oosterparkbuurt Noordwest";"       0"
"Geluidshinder evenement";"2023 april";"Oosterpark";"       0"
"Geluidshinder evenement";"2023 april";"Oosterparkbuurt Zuidoost";"       0"
"Geluidshinder evenement";"2023 april";"Oosterparkbuurt Zuidwest";"       0"
"Geluidshinder evenement";"2023 april";"Dapperbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Dapperbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Dapperbuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Oostpoort";"       0"
"Geluidshinder evenement";"2023 april";"Transvaalbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Transvaalbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Transvaalbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Indische Buurt West";"       0"
"Geluidshinder evenement";"2023 april";"Noordwestkwadrant Indische buurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Noordwestkwadrant Indische buurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Zuidwestkwadrant Indische buurt";"       0"
"Geluidshinder evenement";"2023 april";"Indische Buurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Noordoostkwadrant Indische buurt";"       0"
"Geluidshinder evenement";"2023 april";"Zuidoostkwadrant Indische buurt";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgerdijk Oost";"       0"
"Geluidshinder evenement";"2023 april";"Flevopark";"       0"
"Geluidshinder evenement";"2023 april";"Oostelijk Havengebied";"       0"
"Geluidshinder evenement";"2023 april";"Oostelijke Handelskade";"       0"
"Geluidshinder evenement";"2023 april";"Rietlanden";"       0"
"Geluidshinder evenement";"2023 april";"Java-eiland";"       0"
"Geluidshinder evenement";"2023 april";"KNSM-eiland";"       0"
"Geluidshinder evenement";"2023 april";"Sporenburg";"       0"
"Geluidshinder evenement";"2023 april";"Borneo";"       0"
"Geluidshinder evenement";"2023 april";"Entrepot-Noordwest";"       0"
"Geluidshinder evenement";"2023 april";"Architectenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijvengebied Veelaan";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijvengebied Cruquiusweg";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijvengebied Zeeburgerkade";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgereiland/Nieuwe Diep";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgereiland Noordwest";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgereiland Zuidoost";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgereiland Zuidwest";"       0"
"Geluidshinder evenement";"2023 april";"Nieuwe Diep/Diemerpark";"       0"
"Geluidshinder evenement";"2023 april";"RI Oost terrein";"       0"
"Geluidshinder evenement";"2023 april";"Zeeburgereiland Noordoost";"       0"
"Geluidshinder evenement";"2023 april";"IJburg West";"       0"
"Geluidshinder evenement";"2023 april";"Steigereiland Noord";"       0"
"Geluidshinder evenement";"2023 april";"Steigereiland Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Haveneiland Zuidwest/Rieteiland West";"       0"
"Geluidshinder evenement";"2023 april";"Haveneiland Noordwest";"       0"
"Geluidshinder evenement";"2023 april";"Haveneiland Noordoost";"       0"
"Geluidshinder evenement";"2023 april";"Sloterdijk";"       0"
"Geluidshinder evenement";"2023 april";"Woon- en Groengebied Sloterdijk";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijventerrein Sloterdijk I";"       0"
"Geluidshinder evenement";"2023 april";"Landlust";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijventerrein Landlust";"       0"
"Geluidshinder evenement";"2023 april";"Bosleeuw";"       0"
"Geluidshinder evenement";"2023 april";"Landlust Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Erasmusparkbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Gibraltarbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Landlust Noord";"       0"
"Geluidshinder evenement";"2023 april";"Erasmuspark";"       0"
"Geluidshinder evenement";"2023 april";"Erasmusparkbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Robert Scottbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"De Kolenkit";"       0"
"Geluidshinder evenement";"2023 april";"Robert Scottbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Laan van Spartaan";"       0"
"Geluidshinder evenement";"2023 april";"Kolenkitbuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Kolenkitbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Geuzenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Geuzenhofbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Trompbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Pieter van der Doesbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Van Galenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"John Franklinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Jan Maijenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Orteliusbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Mercatorpark";"       0"
"Geluidshinder evenement";"2023 april";"Hoofdweg e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Balboaplein e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Columbusplein e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Orteliusbuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Orteliusbuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Westindische Buurt";"       0"
"Geluidshinder evenement";"2023 april";"Paramariboplein e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Postjeskade e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Hoofddorppleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Surinamepleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Westlandgrachtbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Aalsmeerwegbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Aalsmeerwegbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Legmeerpleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Bedrijventerrein Schinkel";"       0"
"Geluidshinder evenement";"2023 april";"Schinkelbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Schinkelbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Schinkelbuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Willemspark";"       0"
"Geluidshinder evenement";"2023 april";"Valeriusbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Valeriusbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Willemsparkbuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Vondelpark West";"       0"
"Geluidshinder evenement";"2023 april";"Museumkwartier";"       0"
"Geluidshinder evenement";"2023 april";"Johannnes Vermeerbuurt";"       0"
"Geluidshinder evenement";"2023 april";"P.C. Hooftbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Concertgebouwbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Cornelis Schuytbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Banpleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Hondecoeterbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Harmoniehofbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Museumplein";"       0"
"Geluidshinder evenement";"2023 april";"Vondelpark Oost";"       0"
"Geluidshinder evenement";"2023 april";"Duivelseiland";"       0"
"Geluidshinder evenement";"2023 april";"Stadionbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Bertelmanpleinbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Marathonbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Marathonbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Olympisch Stadion e.o.";"       0"
"Geluidshinder evenement";"2023 april";"IJsbaanpad e.o.";"       0"
"Geluidshinder evenement";"2023 april";"Van Tuyllbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Apollobuurt";"       0"
"Geluidshinder evenement";"2023 april";"Diepenbrockbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Beethovenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Hiltonbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Minervabuurt Noord";"       0"
"Geluidshinder evenement";"2023 april";"Minervabuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Minervabuurt Zuid";"       0"
"Geluidshinder evenement";"2023 april";"IJburg Oost";"       0"
"Geluidshinder evenement";"2023 april";"Strandeiland";"       0"
"Geluidshinder evenement";"2023 april";"Middeneiland Zuidoost";"       0"
"Geluidshinder evenement";"2023 april";"Middeneiland Zuidwest";"       0"
"Geluidshinder evenement";"2023 april";"Buiteneiland";"       0"
"Geluidshinder evenement";"2023 april";"Centrumeiland";"       0"
"Geluidshinder evenement";"2023 april";"IJburg Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Rieteiland Oost";"       0"
"Geluidshinder evenement";"2023 april";"Haveneiland Oost";"       0"
"Geluidshinder evenement";"2023 april";"Haveneiland Noord";"       0"
"Geluidshinder evenement";"2023 april";"Scheldebuurt";"       0"
"Geluidshinder evenement";"2023 april";"Wielingenbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Scheldebuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Scheldebuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Scheldebuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Veluwebuurt";"       0"
"Geluidshinder evenement";"2023 april";"Kop Zuidas";"       0"
"Geluidshinder evenement";"2023 april";"IJselbuurt";"       0"
"Geluidshinder evenement";"2023 april";"IJselbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"IJselbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Rijnbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Kromme Mijdrechtbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Rijnbuurt Oost";"       0"
"Geluidshinder evenement";"2023 april";"Rijnbuurt Midden";"       0"
"Geluidshinder evenement";"2023 april";"Rijnbuurt West";"       0"
"Geluidshinder evenement";"2023 april";"Zorgvlied";"       0"
"Geluidshinder evenement";"2023 april";"Frankendael";"       0"
"Geluidshinder evenement";"2023 april";"De Eenhoorn";"       0"
"Geluidshinder evenement";"2023 april";"Julianapark";"       0"
"Geluidshinder evenement";"2023 april";"Don Bosco";"       0"
"Geluidshinder evenement";"2023 april";"Frankendael";"       0"
"Geluidshinder evenement";"2023 april";"Tuindorp Amstelstation";"       0"
"Geluidshinder evenement";"2023 april";"De Wetbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Tuindorp Frankendael";"       0"
"Geluidshinder evenement";"2023 april";"Van der Kunbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Middenmeer";"       0"
"Geluidshinder evenement";"2023 april";"Linnaeusparkbuurt";"       0"
"Geluidshinder evenement";"2023 april";"Middenmeer Noord";"       0"
"Geluidshinder evenement";"2023 april";"Middenmeer Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Sportpark Middenmeer Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Sportpark Middenmeer Noord";"       0"
"Geluidshinder evenement";"2023 april";"Park de Meer";"       0"
"Geluidshinder evenement";"2023 april";"Sportpark Voorland";"       0"
"Geluidshinder evenement";"2023 april";"Science Park Noord";"       0"
"Geluidshinder evenement";"2023 april";"Science Park Zuid";"       0"
"Geluidshinder evenement";"2023 april";"Betondorp";"       0"
"Geluidshinder evenement";"2023 april";"Betondorp";"       0"
"Geluidshinder evenement";"2023 april";"Nieuwe Oosterbegraafplaats";"       0"
"Geluidshinder evenement";"2023 april";"Drieburg";"       0"
"Geluidshinder evenement";"2023 april";"Omval/Overamstel";"       0"
"Geluidshinder evenement";"2023 april";"Weespertrekvaart";"       0"
"Geluidshinder evenement";"2023 april";"Amstelglorie";"       0"
"Geluidshinder evenement";"2023 april";"Overamstel";"       0"
